ID,战争,回数,起始回,结束回,起始年,结束年,介绍,所属
1,黄巾之战,2,1,2,183,185,黄巾起义是中国历史上规模最大的一次宗教形式组织的民变之一，开始于汉灵帝光和七年（公元184年），当时朝廷腐败，宦官外戚争斗不止、边疆战事不断，国势日趋疲弱，又因全国大旱，颗粒不收而赋税不减，走投无路的贫苦农民在张角的号令下，纷纷揭竿而起，他们头扎黄巾，高喊“苍天已死，黄天当立，岁在甲子，天下大吉”的口号，向官僚地主发动了猛烈攻击，并对东汉朝廷的统治产生了巨大的冲击，最终导致三国局面的形成。,1
2,虎牢关之战,11,3,13,190,191,虎牢关之战是罗贯中历史小说《三国演义》的一场虚构战役，交战双方为董卓和关东诸侯联军，是中国历史的三国时期之前190年董卓讨伐战的一部分。陈寿的历史著作《三国志》作为东汉末年和三国时期历史的权威资料，对此战毫无记载。,1
3,下邳之战,7,14,20,195,198,下邳之战，发生于汉献帝建安三年（198年），是东汉末年一场战争。这场战争中曹操势力完全击败吕布，吕布势力覆亡。曹操取得吕布控制的徐州，使得自己在和袁绍的决斗中避免了因为主力部队迎战袁绍而导致后方空虚，被吕布偷袭的危险。,1
4,官渡之战,13,21,33,199,200,官渡之战，是东汉末年“三大战役”之一，也是中国历史上著名的以弱胜强的战役之一。东汉献帝建安五年（200年），曹操军与袁绍军相持于官渡（今河南中牟东北），在此展开战略决战。曹操奇袭袁军在乌巢的粮仓（今河南封丘西），继而击溃袁军主力。此战奠定了曹操统一中国北方的基础。,1
5,长坂坡之战,9,34,42,208,208,长坂坡之战发生于东汉建安十三年，地点在荆州当阳附近的长坂坡，战斗双方是刘备和曹操。刘备被曹操击溃，携民众逃走。此战，刘备辎重军队损失惨重，两个女儿被曹纯俘虏，刘备因张飞据水断桥赢得逃亡时间，而甘夫人和刘禅在赵云的保护下幸免于难。战后刘备放弃转往江陵的计划，转为前往江夏和刘表长子刘琦会合。,1
6,赤壁之战,8,43,50,208,208,赤壁之战，是指三国形成时期，孙权、刘备联军于建安十三年（208年）在长江赤壁（今湖北省赤壁市西北）一带大破曹操大军，奠定三国鼎立基础的以少胜多,以弱胜强的著名战役。这是中国历史上以少胜多的著名战争之一，也是三国时期“三大战役”中最为著名的一场。它也是中国历史上第一次在长江流域进行的大规模江河作战，标志着中国军事政治中心不再限于黄河流域。孙刘联军最后以火攻大破曹军，曹操北回，孙、刘各自夺去荆州的一部分。",2
7,成都之战,15,51,65,208,214,赤壁之战后，曹操在潼关击败马超。汉中张鲁决定夺取益州以防曹。益州牧刘璋派张松出使曹操却无功而返。后刘备被请入川相助。后刘璋和刘备决裂，刘备挥军进攻成都，战斗指挥成功的庞统在进军时被伏击殒命。诸葛亮和张飞驰援成都，诸葛亮计收马超，刘璋不得不开城投降。214年，刘备入主益州。,2
8,合肥之战,12,66,77,208,253,合肥之战是东汉末年至三国时期，孙军与曹军以合肥为目标的争夺战。合肥是曹操命刘馥建设的一座东南方重要、繁荣的城市（后再增筑，命为合肥新城），而其主要作用是抵抗敌人的寨垒，所以守备能力对曹军极为重要；而东吴若要北伐，合肥是其中一个障碍点及补给点，所以双方于208年至253年在此地爆发过五次较大型的冲突，不过数次也未有胜负。,3
9,夷陵之战,9,78,86,221,222,夷陵之战，又称彝陵之战、猇亭之战，是三国时期蜀汉昭烈帝刘备对东吴发动的大规模战役，是中国古代战争史上一次著名的积极防御的成功战例，也是三国“三大战役”的最后一场。章武元年（221年）七月，也就是刘备称帝三个月后，刘备以替名将关羽报仇为由，挥兵东征东吴孙权，气势强劲。孙权求和不成后，决定一面向曹魏求和、避免两线作战，一面派陆逊率军应战。陆逊用以逸待劳的方法，阻挡了蜀汉军的攻势，更在章武二年（222年）八月夷陵一带打败蜀汉军。,3
10,南中平定,4,87,90,225,226,三国蜀建兴三年(225年)，蜀丞相诸葛亮平定南中（今云南、贵州及四川西南部地区）动乱的作战。此战，诸葛亮以“攻心为上”的策略，不仅解除了尔后北进的后顾之忧，并获得了丰富的军需物资和兵源，为北伐曹魏创造了条件，也为后世兵家提供了借鉴。,3
11,五丈原之战,15,91,105,227,234,五丈原之战是中国的三国时期发生的一场战役，于今日中华人民共和国陕西省宝鸡市岐山县县城南约20公里五丈原镇的黄土台原发生，交战双方为曹魏及蜀汉，时为蜀汉后主刘禅建兴十二年（234年，魏明帝青龙二年）。当时，蜀汉丞相诸葛亮率军第五次北伐，由汉中出发，取道斜谷，穿越秦岭，进驻五丈原。在此，蜀军与魏军对峙了100余天。最后，诸葛亮病逝于此。,3
12,蜀汉灭亡,12,106,117,228,263,蜀国疲敝。姜维却坚持北伐，遭到邓艾阻碍无奈撤兵。司马昭命钟会邓艾以及诸葛绪率军伐蜀，蜀汉主将姜维阻敌于剑阁。最后邓艾经阴平直袭涪城，紧逼成都。最后刘禅投降，蜀汉灭亡。季候钟会姜维意图叛变，但被司马昭立即平定。,4
13,曹魏灭亡,1,118,118,239,265,239年，魏帝曹睿去世。八岁的曹芳继位。司马昭去世后，其子司马炎篡位，曹魏灭亡。司马炎建立晋朝，是为晋武帝，定都洛阳。,4
14,孙吴灭亡,2,119,120,252,280,252年，孙亮继承孙权。后孙琳辅佐孙亮，专横独断。后孙亮被罢黜，孙休继承帝位。孙休病死后，残暴的孙皓继位。王浚、杜预上书司马炎伐吴，贾充、荀勖等则以“西北未定”的理由反对。最后司马炎决定于该年12月进攻吴国，史称晋灭吴之战。司马炎以贾充为大都督，上游王浚军、中游杜预等军、下游王浑等军共六路并进。最后于280年逼近建业，孙皓投降，孙吴灭亡，西晋成功统一天下。,4
